	aBufBuf1_r1_k7	aBufBuf1_r2_k7	aDenEbr1_r1_k7	aDenEbr1_r2_k7	aRanTem1_r1_k7	aRanTem1_r2_k7	aRanTem1_r3_k7	aRanTem1_r4_k7	bAquChr1_r_k7	bBalReg1_r_k7	bCarCri1_r1_k7	bCarCri1_r2_k7	bCarCri1_r3_k7	bCicMag1_r1_k7	bCicMag1_r2_k7	bCicMag1_r3_k7	bCucCan1_r_k7	bFalNau1_r1_k7	bFalNau1_r2_k7	bFalRus1_r_k7	bMerNub1_r1_k7	bMerNub1_r2_k7	bMerNub1_r3_k7	bNycGra1_r1_k7	bNycGra1_r2_k7	bNycGra1_r3_k7	bPluApr1_r_k7	bPogPus1_r1_k7	bPogPus1_r2_k7	bStrHab1_r_k7	fAciRut3_r_k7	fAnaTes1_r_k7	fAntMac1_r1_k7	fAntMac1_r2_k7	fArcCen1_r_k7	fCycLum1_r_k7	fDenClu1_r_k7	fEleEle1_r1_k7	fEleEle1_r2_k7	fEsoLuc1_r_k7	fHipHip1_r_k7	fMegCyp1_r_k7	fParRan2_r_k7	fSebUmb1_r_k7	kPetMar1_r_k7	mLemCat1_r_k7	mLutLut1_r_k7	mLynCan4_r1_k7	mLynCan4_r2_k7	mMusErm1_r_k7	mMyoMyo1_r1_k7	mMyoMyo1_r2_k7	mOrnAna1_r_k7	mPhyDis1_r_k7	mPipKuh1_r1_k7	mPipKuh1_r2_k7	mPipPip1_r1_k7	mPipPip1_r2_k7	mRhiFer1_r1_k7	mTamTet1_r_k7	mTriVul1_r1_k7	mTriVul1_r2_k7	mZalCal1_r_k7	rDerCor1_r_k7	rGopEvg1_r_k7	rGopFla2_r_k7	rLacAgi1_r1_k7	rLacAgi1_r2_k7
bCarCri1_r1_k7	.17398463227222832052	0	.17765042979942693409	.00350058343057176196	.00582524271844660194	.00356052899287894201	0	.04845980465815176558	.02874940105414470531	0	1	.97735105859182668636	0	.02027429934406678592	.01934235976789168278	0	.01143790849673202614	.15273412947831552482	.05083459787556904400	.19157797316057380842	.02042483660130718954	.02044153720359771054	0	.04248245289988917620	.04537444933920704845	0	0	.01595987232102143182	.05389908256880733944	.13575335653903530581	.00610221205186880244	.00825082508250825082	0	.03580729166666666666	.00420168067226890756	.18308921438082556591	.04293116210214655810	.00933955970647098065	.01568334578043315907	0	.01572668112798264642	0	.01327742837176799440	.10322874033651659845	.05587044534412955465	0	0	.00972326103216155572	0	.00326797385620915032	.02586750788643533123	0	.02170418006430868167	.00829875518672199170	.01807228915662650602	0	.02390710382513661202	0	0	.05755395683453237410	0	.14066852367688022284	.00513196480938416422	0	0	0	0	0
bCarCri1_r2_k7	.15612758813654168998	0	.15055852355512384652	0	.00662251655629139072	0	0	.04111153406928054815	.01559454191033138401	0	.97735105859182668636	1	0	.01887941534713763702	.01846965699208443271	0	.01099807533681605718	.14395886889460154241	.05222135619641465315	.17685794920037629350	.01766190075693860386	.01767676767676767676	0	.03181137724550898203	.03534675615212527964	0	0	.01436515291936978683	.04915155061439438267	.11589068825910931174	0	.00764655904842820730	0	.02798134576948700866	0	.16905248807089297886	.03799392097264437689	0	.01687116564417177914	0	0	0	0	.08595194085027726432	.02083333333333333333	0	0	.01075268817204301075	0	0	.01870967741935483870	0	.01736972704714640198	0	.01969230769230769230	0	.00979706088173547935	0	0	.04769736842105263157	0	.11991434689507494646	0	0	0	0	0	0
bCarCri1_r3_k7	.02857142857142857142	0	0	0	0	0	0	0	0	.00282485875706214689	0	0	1	0	0	.22739726027397260273	.00931780366056572379	.03030303030303030303	0	.04082998661311914323	.10233393177737881508	.10251798561151079136	.10067114093959731543	0	0	0	.06154684095860566448	.04849279161205766710	.05942432683379758588	.02827380952380952380	.04658385093167701863	.05688073394495412844	0	.02186421173762945914	.06692160611854684512	.03353293413173652694	0	0	0	0	0	0	0	.08093994778067885117	.01760563380281690140	0	0	.00746268656716417910	0	0	.03594771241830065359	0	.00519930675909878682	0	0	0	0	0	0	.05821917808219178082	0	.03641092327698309492	0	0	0	0	0	0
bCicMag1_r1_k7	.03768318213538032100	.03064351378958120531	.02404692082111436950	.02792452830188679245	.08477508650519031141	.07355738744451490171	.06561264822134387351	0	.05123674911660777385	.19979716024340770791	.02027429934406678592	.01887941534713763702	0	1	1.00000000000000000000	0	.03076454462381967712	0	0	.03160270880361173814	.01197604790419161676	.01199040767386091127	0	.02329594477998274374	.02232854864433811802	.02522068095838587641	.02459791863765373699	.08924611973392461197	.09372693726937269372	.14426633785450061652	0	0	0	.02702702702702702702	.02746566791510611735	.00359389038634321653	.03742203742203742203	.01981981981981981981	.06210526315789473684	.00340136054421768707	.01099656357388316151	.02013422818791946308	0	.01878453038674033149	.04491725768321513002	0	0	.04113924050632911392	0	.04670658682634730538	.02759197324414715719	0	.00818713450292397660	0	.04642014162077104642	0	.05767441860465116279	0	0	.02552204176334106728	0	.04011461318051575931	0	0	0	0	0	0
bCicMag1_r2_k7	.03519510328997704667	.03048065650644783118	.02343255224825839138	.02668890742285237698	.08737864077669902912	.07649896623018607856	.06848112379280070237	0	.05089058524173027989	.21627906976744186046	.01934235976789168278	.01846965699208443271	0	1.00000000000000000000	1	0	.03135888501742160278	0	0	.02976913730255164034	.01128349788434414668	.01129943502824858757	0	.02326642335766423357	.02222222222222222222	.02848575712143928035	.02464788732394366197	.09058402860548271752	.09601301871440195280	.14572192513368983957	0	0	0	.02546523016650342801	.02962962962962962962	.00303951367781155015	.03827751196172248803	.02032520325203252032	.06310679611650485436	.00285714285714285714	.01128668171557562076	.02057613168724279835	0	.01781472684085510688	.04861111111111111111	0	0	.03892944038929440389	0	.04654442877291960507	.02803738317757009345	0	.00823045267489711934	0	.04628820960698689956	0	.05900948366701791359	0	0	.02445652173913043478	0	.03800217155266015200	0	0	0	0	0	0
bCicMag1_r3_k7	0	0	0	0	0	0	0	0	.04767246214245653393	.27077497665732959850	0	0	.22739726027397260273	0	0	1	.01098574821852731591	.32245532245532245532	.06804733727810650887	.18362950996230479267	0	0	.90198123044838373305	0	0	.32687927107061503416	.54024556616643929058	.31074642668078348332	.37847222222222222222	.04159343878148799062	0	0	0	0	0	0	0	0	0	0	.06103896103896103896	0	0	.04643799472295514511	0	0	0	0	0	0	0	0	.00212765957446808510	0	0	0	0	0	0	.07497360084477296726	0	0	0	0	0	0	0	0
bCucCan1_r_k7	.02158693115519253208	.00403496973772696704	.00972972972972972972	.10602409638554216867	.01840685496667724531	.02799552071668533034	.02116564417177914110	.00538894095595126522	.02112103980503655564	.04025494800402549480	.01143790849673202614	.01099807533681605718	.00931780366056572379	.03076454462381967712	.03135888501742160278	.01098574821852731591	1	.02126994056928370347	.00478796169630642954	.01221130873374037695	.00565371024734982332	.00565570873100035348	0	.03848829121261303037	.03457172342621259029	.00430416068866571018	.02725724020442930153	.05659384048433798367	.05940298507462686567	.01880011058888581697	.00891326705519369214	.01312987934705464868	.02864321608040201005	.05028644175684277530	.00786838340486409155	.00900900900900900900	.02130537707135610415	.04283413848631239935	.01833616298811544991	.01671397035635446231	.00840579710144927536	.03387290167865707434	.06124464932499176819	.03206307490144546649	.00633579725448785638	0	.00139909059111577474	.01529051987767584097	.00067704807041299932	.00070671378091872791	.01754935756816045126	0	.01052631578947368421	0	.02633190447030006123	0	.01368078175895765472	0	.03789473684210526315	.01295064753237661883	0	.04635108481262327416	.00067340067340067340	.00069662138627655869	.00840879689521345407	.00218978102189781021	.00356633380884450784	.00356633380884450784
bFalNau1_r1_k7	.11581291759465478841	0	.03953057442865966646	0	0	.00134138162307176391	0	0	.03722084367245657568	.06888888888888888888	.15273412947831552482	.14395886889460154241	.03030303030303030303	0	0	.32245532245532245532	.02126994056928370347	1	.00948991696322657176	.61150652431791221826	0	0	.12944162436548223350	0	0	0	.12672583826429980276	.26833527357392316647	.28132387706855791962	.13020833333333333333	0	.05698778833107191316	0	.01885014137606032045	0	.09055501460564751703	.03082191780821917808	0	.28009259259259259259	0	0	0	0	.02436194895591647331	0	0	0	0	0	0	0	0	.01170351105331599479	0	.00675105485232067510	0	.00606673407482305358	0	0	.00773195876288659793	0	.00728407908428720083	0	0	0	0	0	0
bFalNau1_r2_k7	.02886405959031657355	.06451612903225806451	.02303120356612184249	.00414078674948240165	0	0	0	.05120167189132706374	.03659447348767737117	.03189792663476874003	.05083459787556904400	.05222135619641465315	0	0	0	.06804733727810650887	.00478796169630642954	.00948991696322657176	1	.03538570417551309271	.03781512605042016806	.03789473684210526315	0	.02041858090862685043	.02431011826544021024	0	.00284900284900284900	.12802768166089965397	.12248995983935742971	.07917656373713380839	0	0	0	0	0	.06763925729442970822	0	.01331557922769640479	0	0	.01551094890510948905	0	0	.06478290833907649896	.05749486652977412731	0	0	0	0	0	.01075268817204301075	0	.03427419354838709677	0	0	0	.00558659217877094972	0	0	.03777335984095427435	0	.01162790697674418604	0	0	0	0	0	0
bFalRus1_r_k7	.11528429838288993218	.02460697197539302802	.03791685701233439926	.01824212271973466003	.05487804878048780487	.03833090732654051431	.03144654088050314465	.01632208922742110990	.06966086159486709440	.06122448979591836734	.19157797316057380842	.17685794920037629350	.04082998661311914323	.03160270880361173814	.02976913730255164034	.18362950996230479267	.01221130873374037695	.61150652431791221826	.03538570417551309271	1	.00530705079605761940	.00531107738998482549	.07437407952871870397	0	0	.06342991386061080657	.16320246343341031562	.21590909090909090909	.17998912452419793365	.20465337132003798670	.01635846372688477951	.01530221882172915072	0	.02084610668301655426	.01789883268482490272	.04257983719474013775	.04771784232365145228	.01693851944792973651	.09274755927475592747	.03192771084337349397	.02372356884992264053	.01095890410958904109	.01245085190039318479	.05318221447253705318	.01879699248120300751	0	0	.01396648044692737430	.00138600138600138600	.00151630022744503411	.05833333333333333333	0	.05153099327856609410	0	.02735042735042735042	0	.01796023091725465041	0	0	.01263001485884101040	0	.05290659699542782495	0	0	.01707779886148007590	.00976403580146460537	0	0
bMerNub1_r1_k7	.04591836734693877551	.08745247148288973384	.02715654952076677316	.05160550458715596330	.04694167852062588904	.05071174377224199288	.05049261083743842364	0	.05220883534136546184	0	.02042483660130718954	.01766190075693860386	.10233393177737881508	.01197604790419161676	.01128349788434414668	0	.00565371024734982332	0	.03781512605042016806	.00530705079605761940	1	.99475065616797900262	0	.03163538873994638069	.03501400560224089635	0	0	.02442635085122131754	.02106430155210643015	.03763900769888793840	0	.02432432432432432432	.00391644908616187989	.02881844380403458213	.02873563218390804597	.02727272727272727272	.01964636542239685658	.03805175038051750380	.10663983903420523138	.08298755186721991701	.01596806387225548902	.04504504504504504504	.06791171477079796264	.08253500368459837877	0	0	0	.04646464646464646464	.07707509881422924901	.00785340314136125654	.05114401076716016150	0	.10945273631840796019	.03305785123966942148	.04156479217603911980	0	.06109324758842443729	.09319899244332493702	0	.01466992665036674816	0	.03198653198653198653	.06321839080459770114	.21040189125295508274	.17080745341614906832	.09589041095890410958	0	0
bMerNub1_r2_k7	.04596527068437180796	.08761904761904761904	.01998401278976818545	.05166475315729047072	.04700854700854700854	.05075690115761353517	.05055487053020961775	0	.05225080385852090032	0	.02044153720359771054	.01767676767676767676	.10251798561151079136	.01199040767386091127	.01129943502824858757	0	.00565570873100035348	0	.03789473684210526315	.00531107738998482549	.99475065616797900262	1	0	.03165236051502145922	.03503854239663629992	0	0	.02296296296296296296	.02108768035516093229	.02568493150684931506	0	.02710027100271002710	.00391900718484650555	.02886002886002886002	.02881844380403458213	.02427921092564491654	.01968503937007874015	.03810975609756097560	.10685483870967741935	.08310249307479224376	.01598401598401598401	.04509582863585118376	.06802721088435374149	.07522123893805309734	0	0	0	.04655870445344129554	.07722772277227722772	.00787401574803149606	.05121293800539083557	0	.05486284289276807980	.03314917127071823204	.04161566707466340269	0	.06119162640901771336	.09343434343434343434	0	.00980392156862745098	0	.03204047217537942664	.06333973128598848368	.21090047393364928909	.17107309486780715396	.09621993127147766323	0	0
bMerNub1_r3_k7	0	0	0	0	0	0	0	0	0	.23251748251748251748	0	0	.10067114093959731543	0	0	.90198123044838373305	0	.12944162436548223350	0	.07437407952871870397	0	0	1	0	0	.39841688654353562005	.45235294117647058823	.15395683453237410071	.20616365568544102019	0	0	0	0	0	0	0	0	0	0	0	.04418828049951969260	0	0	.02650429799426934097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.07589285714285714285	0	0	0	0	0	0	0	0
bNycGra1_r1_k7	.01705237515225334957	.02439024390243902439	.01133455210237659963	0	0	0	0	0	0	0	.04248245289988917620	.03181137724550898203	0	.02329594477998274374	.02326642335766423357	0	.03848829121261303037	0	.02041858090862685043	0	.03163538873994638069	.03165236051502145922	0	1	1.00000000000000000000	0	0	0	0	.02036199095022624434	.01178278688524590163	.04101457096600107933	0	0	0	.02053196453569762015	0	0	.03585858585858585858	0	.06961770623742454728	0	0	.00880281690140845070	0	0	.00422386483632523759	0	0	.00321715817694369973	0	0	0	.00595882990249187432	0	0	0	0	0	.02431289640591966173	.01312335958005249343	0	0	0	0	0	0	0
bNycGra1_r2_k7	.01431391905231984205	.02480916030534351145	.01131418624891209747	0	0	0	0	0	0	0	.04537444933920704845	.03534675615212527964	0	.02232854864433811802	.02222222222222222222	0	.03457172342621259029	0	.02431011826544021024	0	.03501400560224089635	.03503854239663629992	0	1.00000000000000000000	1	0	0	0	0	.01896162528216704288	.01056105610561056105	.04237288135593220338	0	0	0	.01992966002344665885	0	0	.03564484769928710304	0	.07080078125000000000	0	0	.00790678318768206408	0	0	.00617707618393960192	0	0	.00560224089635854341	0	0	0	.00851667849538679914	0	0	0	0	0	.02336769759450171821	.01294277929155313351	0	0	0	0	0	0	0
bNycGra1_r3_k7	.01385927505330490405	0	0	0	.01815431164901664145	0	0	0	.02660016625103906899	.15885947046843177189	0	0	0	.02522068095838587641	.02848575712143928035	.32687927107061503416	.00430416068866571018	0	0	.06342991386061080657	0	0	.39841688654353562005	0	0	1	.19456454601605929586	.01909854851031321619	.01511627906976744186	.02661934338952972493	0	0	0	0	0	0	0	0	0	0	0	0	0	.01140684410646387832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.06267029972752043596	0	.02173913043478260869	0	0	0	0	0	0
bPluApr1_r_k7	0	0	0	0	0	0	0	0	.00950871632329635499	.15121412803532008830	0	0	.06154684095860566448	.02459791863765373699	.02464788732394366197	.54024556616643929058	.02725724020442930153	.12672583826429980276	.00284900284900284900	.16320246343341031562	0	0	.45235294117647058823	0	0	.19456454601605929586	1	.39695817490494296577	.43237047226043099495	.00245098039215686274	0	0	0	0	0	0	0	0	0	0	.03857957036387549320	0	0	.03034901365705614567	0	0	0	0	0	.02167369054786273329	0	0	0	0	0	0	0	0	0	.05094786729857819905	0	0	0	0	0	0	0	0
bPogPus1_r1_k7	.04104669061056952283	.01070234113712374581	.01936064835659612787	0	.02392344497607655502	.02771141901576684185	.03368893879842784952	0	.04561878952122854561	.14846870838881491344	.01595987232102143182	.01436515291936978683	.04849279161205766710	.08924611973392461197	.09058402860548271752	.31074642668078348332	.05659384048433798367	.26833527357392316647	.12802768166089965397	.21590909090909090909	.02442635085122131754	.02296296296296296296	.15395683453237410071	0	0	.01909854851031321619	.39695817490494296577	1	.97701763762693746659	.11318989710009354536	0	0	0	.00601322910402886349	0	.02823818293431553100	0	.01722017220172201722	.07435197817189631650	0	.02080162354134956874	0	0	.02751504729148753224	0	0	0	.01229508196721311475	0	.02812731310140636565	.02102803738317757009	0	.02990517870167760758	0	0	0	.00439974858579509742	0	0	.00435413642960812772	0	.02367242482405630198	0	0	.00929944203347799132	0	.00452830188679245283	.00452830188679245283
bPogPus1_r2_k7	.04000000000000000000	.00956022944550669216	.02257336343115124153	0	.02289452166802943581	.02798053527980535279	.03603603603603603603	0	.02946175637393767705	.18898385565052231718	.05389908256880733944	.04915155061439438267	.05942432683379758588	.09372693726937269372	.09601301871440195280	.37847222222222222222	.05940298507462686567	.28132387706855791962	.12248995983935742971	.17998912452419793365	.02106430155210643015	.02108768035516093229	.20616365568544102019	0	0	.01511627906976744186	.43237047226043099495	.97701763762693746659	1	.08999407933688573120	0	0	0	0	0	.02288135593220338983	0	.01359388275276125743	.06981317600786627335	0	.01248357424441524310	0	0	.02290889717634523175	.01752464403066812705	0	0	.01182266009852216748	0	.03104212860310421286	.01108471892319873317	0	.01952277657266811279	0	0	0	.00612959719789842381	0	0	.00968783638320775026	0	.02244165170556552962	0	0	.00773195876288659793	0	0	0
bStrHab1_r_k7	.15449915110356536502	.02741812642802741812	.06130456105934281510	0	.10671140939597315436	.11930926216640502354	.11131957473420888055	0	.10629921259842519685	0	.13575335653903530581	.11589068825910931174	.02827380952380952380	.14426633785450061652	.14572192513368983957	.04159343878148799062	.01880011058888581697	.13020833333333333333	.07917656373713380839	.20465337132003798670	.03763900769888793840	.02568493150684931506	0	.02036199095022624434	.01896162528216704288	.02661934338952972493	.00245098039215686274	.11318989710009354536	.08999407933688573120	1	.03742038216560509554	.01642178046672428694	0	.02903443619176232275	.04493392070484581497	.12715964063579820317	.02932098765432098765	.05817174515235457063	.05062305295950155763	0	.09614309670206819452	0	0	.16651119402985074626	.15508474576271186440	0	0	0	0	0	.05882352941176470588	0	.13456686291000841042	0	.00809968847352024922	0	.04258339247693399574	0	0	.11204013377926421404	0	.04923968139029688631	0	0	0	0	.00524934383202099737	.00524934383202099737
