VGP dataset	Latin name	Common name	Assembly	Contig	VGP length	NOVOPlasty length	N_ short mitoreads NOVOPlasty	Identity (%)	Identity no-IUPAC (%)	Rounding	VGP_repeat	NOVOplasty_repeat	NOVOPlasty_missing	NOVOPlasty_duplicated	NOVOPlasty_missing count	NOVOPlasty_duplicated count	VGP_missing	VGP_duplicated	VGP_missing count	VGP_duplicated count
fHipHip1	Hippoglossus hippoglossus	Atlantic Halibut	Circular	Contig1	17607	17180	180084	99.9595	99.9653	99.9653	880	444	NA	NA	0	0	NA	NA	0	0
fMasArm1	Mastacembelus armatus	Tire track eel	Circular	Contig1	16490	16490	285938	100	100	100	365	365	NA	NA	0	0	NA	NA	0	0
fMegCyp1	Megalops cyprinoides	Indo-pacific tarpon	Multiple contigs	Contig01+338222332	17143	17308	200108	100	100	100										
fMelBoe1	Melanotaenia boesemani	Boesman’s rainbowfish	Single contig	Contig01+72903272	16541	22081	240296	99.9799	99.9934	99.9934										
fNotCel1	Notolabrus celidotus	Spotty Wrasse	Circular	Contig1	16525	16525	203642	100	100	100	77	77	NA	NA	0	0	NA	NA	0	0
fParRan2	Parambassis ranga	Indian glassy fish	Single contig	Contig01+32722342	17024	17703	44636	100	100.012	100										
fPerMag1	Periophthalmus magnuspinnatus	Korean giant-fin mudskipper	Circular	Contig1	16496	16496	48510	100	100	100	173	173	NA	NA	0	0	NA	NA	0	0
fPygNat1	Pygocentrus nattereri	Red-bellied piranha	Circular	Contig1	16708	16708	94090	100	100	100	275	275	NA	NA	0	0	NA	NA	0	0
fScaArg1	Scatophagus argus	Spotted scat	Single contig	Contig01+450396612	16771	22031	111800	99.9818	99.9818	99.9818										
fSebUmb1	Sebastes umbrosus	Honeycomb rockfish	Multiple contigs	Contig01+270410571	17611	17498	48018	99.9321	99.9321	99.9321										
fSpaAur1	Sparus aurata	Gilthead seabream	Circular	Contig1	16652	16650	695358	99.9859	99.9859	99.9859	134	134	NA	NA	0	0	NA	NA	0	0
fSynAcu1	Syngnathus acus	Greater pipefish	Circular	Contig1	16454	16454	1501492	100	100	100	43	43	NA	NA	0	0	NA	NA	0	0
fTakRub1	Takifugu rubripes	Japanese puffer (Torafugu)	Circular	Contig1	16448	16448	265624	99.9946	100.001	100	152	152	NA	NA	0	0	NA	NA	0	0
fTraTra1	Trachurus trachurus	Atlantic horse mackerel	Circular	Contig1	16561	16561	537744	100	100	100	164	164	NA	NA	0	0	NA	NA	0	0
fXenCan1	Xenentodon cancila	Needlefish	Circular	Contig1	16452	16451	52294	99.9947	100.001	100	147	147	NA	NA	0	0	NA	NA	0	0
fZeuFab1	Zeus faber	John dory	Circular	Contig1	16722	16723	5936	99.9945	99.9945	99.9945	407	407	NA	NA	0	0	NA	NA	0	0
kPetMar1	Petromyzon marinus	Sea Lamprey	Multiple contigs	Contig01+1281132	16230	16500	140810	99.9908	100.003	100										
mMyoMyo1	Myotis myotis	Greater Mouse-Eared Bat	Multiple contigs	Contig14+11880	17308	7672	3778	99.84	101.991	100										
mPipKuh1	Pipistrellus kuhlii	Kuhl's Pipistrelle	Multiple contigs	Contig01+106787631	17207	16292	511214	99.8966	99.8966	99.8966										
mRhiFer1	Rhinolophus ferrumequinum	Greater Horseshoe Bat	Single contig	Contig01+1044023602	16848	22022	22763966	99.9835	99.9835	99.9835										
rLacAgi1	Lacerta agilis	Sand lizard	Circular	Contig1	19093	16988	45074	99.9887	99.9887	99.9887	888	670	NA	NA	0	0	NA	trnP cob trnT	3	3
